LOCATION,TYPE,DTE,VOUNO,SUPP_CUSTM,TOTAMOUNT,DISCOUNT,DISC_ADDED,OTHER_CHRG,ORDER_REF,LC_NO,INVNO,EXCH_RATE,LND_RATE,CREDITCODE,SALES_MAN,SPARE,STVDESTIN,ORDTYPE,ORDER_REF2,ENTRYDTE,CLIENT,CARD,ORDER_REF3,ADDRESS,TEL
14,3,1/3/2018,18130001,,168,0,0,0,,,,0,0,1,,,2,1,,,,,,,
14,3,1/4/2018,18130002,,1199,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
14,4,1/1/2018,18140001,17-449,168,0,0,0,,,,0,0,1,,,2,1,,,,,,,
14,4,1/3/2018,18140002,17-449,2100,20,0,0,,,,0,0,1,,,2,1,,,,,,,
14,4,1/6/2018,18140003,17-449,512,0,103,0,,,,0,0,1,,,2,1,,,,,,,
8,3,1/1/2018,18130001,,225,15,0.25,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/2/2018,18120003,17-4491,1050,0,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/2/2018,18120004,17-4491,560,0,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/2/2018,18120005,17-4491,164,0,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/2/2018,18120006,17-4491,659,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/3/2018,18120007,17-4491,466,0,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/3/2018,18120008,17-4491,540,0,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/4/2018,18120009,17-4491,149,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/4/2018,18120010,17-4491,200,0,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/5/2018,18120011,17-4491,1050,0,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/5/2018,18120012,17-4491,691,0,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/5/2018,18120013,17-4491,870,0,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/6/2018,18120014,17-4491,1050,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/7/2018,18120015,17-4491,278,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/7/2018,18120016,17-4491,1500,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/2/2018,18130001,,160,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/2/2018,18130002,,512,20,0.6,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/3/2018,18130003,,540,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/3/2018,18130004,,168,0,0,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/4/2018,18130005,,614,0,0,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/7/2018,18130006,,1050,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/7/2018,18130007,,367,20,0.6,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/7/2018,18130008,,466,20,0.8,0,,,,0,0,1,,,2,1,,,,,,,
22,4,1/4/2018,18140001,17-4491,614,0,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/8/2018,18120017,17-4491,824,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/8/2018,18120018,17-4491,344,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/9/2018,18120019,17-4491,1050,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/9/2018,18120020,17-4491,263,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/9/2018,18120021,17-4491,1500,20,0,0,,,,0,0,1,,,2,1,,,,,,,
22,2,1/9/2018,18120022,17-4491,691,20,0.8,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/9/2018,18130009,,238,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
22,3,1/9/2018,18130010,,902,20,0.6,0,,,,0,0,1,,,2,1,,,,,,,
22,4,1/9/2018,18140002,17-4491,172,0,0,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/6/2018,18120015,17-449,851,0,170,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/6/2018,18120016,17-449,297,0,57,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/6/2018,18120017,17-449,401,0,81,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/7/2018,18120018,17-449,173,20,0.4,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/7/2018,18120019,17-449,569,20,0.2,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/8/2018,18120020,17-449,173,0,0,0,,,,0,0,1,,,2,1,,,,,,,
14,2,1/9/2018,18120021,17-449,465,20,0,0,,,,0,0,1,,,2,1,,,,,,,
