LOCATION,TYPE,DTE,VOUNO,REF_NO,PRICE_COST,QTY,UNITS,CATAGORY,DFLAG,AV_COST,WS_COST,RT_COST,SALE_COST,SUP_CUS,SUPP_CODE,BRAND_CODE,REF_NO2,ENTRYDTE,SALEMAN
1,5,1/11/2018,21810003,CD-077890030,238,2,1,,,121.868,161.84,238,0,STKTR16,16-120,0366,SECTION S,,
1,5,1/11/2018,21810003,CD-077890031,238,1,1,,,125.878,161.84,238,0,STKTR16,16-120,0366,SECTION S,,
1,5,1/11/2018,21810004,CD-033230032,278,1,1,,,148.63,189.04,278,0,STKTR16,16-120,0370,SECTION S,,
1,5,1/11/2018,21810004,CD-074720002,204,1,1,,,108.682,138.72,204,0,STKTR16,16-120,0370,SECTION S,,
1,5,1/11/2018,21810004,CD-074720003,204,2,1,,,109.107,138.72,204,0,STKTR16,16-120,0370,SECTION S,,
1,5,1/11/2018,21810004,CD-077080021,238,4,1,,,127.276,161.84,238,0,STKTR16,16-120,0370,SECTION S,,
1,5,1/11/2018,21810004,CD-077893010,250,2,1,,,133.778,170,250,0,STKTR16,16-120,0370,SECTION S,,
1,5,1/11/2018,21810004,CD-077970001,202,1,1,,,108.016,137.36,202,0,STKTR16,16-120,0370,SECTION S,,
1,5,1/11/2018,21810005,CD-001600009,200,4,1,,,106.946,136,200,0,STKTR16,16-120,0100,CDIOR,,
1,5,1/11/2018,21810005,CD-001901009,223,6,1,,,119.075,151.64,223,0,STKTR16,16-120,0100,SECTION S,,
1,5,1/11/2018,21810005,CD-006244309,540,3,1,,,288.837,367.2,540,0,STKTR16,16-120,0100,SECTION S,,
1,5,1/11/2018,21810005,CD-008286009,824,3,1,,,438.225,560.32,824,0,STKTR16,16-120,0100,SECTION S,,
1,5,1/11/2018,21810005,CD-032622889,377,4,1,,,201.622,256.36,377,0,STKTR16,16-120,0100,SECTION S,,
1,5,1/11/2018,21810005,CD-032686009,664,2,1,,,354.838,451.52,664,0,STKTR16,16-120,0100,SECTION S,,
1,5,1/11/2018,21810005,CD-62229-9,377,1,1,,,201.61,256.36,377,0,STKTR16,16-120,0100,CDIOR,,
1,5,1/11/2018,21810005,CD-6424909,540,1,1,,,288.209,367.2,540,0,STKTR16,16-120,0101,CDIOR,,
1,5,1/11/2018,21810005,CD-6924-9,540,2,1,,,287.55,367.2,540,0,STKTR16,16-120,0105,CDIOR,,
1,5,1/11/2018,21810005,CD-008344409,659,1,1,,,336.627,448.12,659,0,STKTR16,16-120,0109,SECTION S,,
1,5,1/11/2018,21810005,CD-056364009,215,1,1,,,114.935,146.2,215,0,STKTR16,16-120,0109,CDIOR,,
1,5,1/11/2018,21810005,CD-6342009,377,1,1,,,201.671,256.36,377,0,STKTR16,16-120,0109,CDIOR,,
1,5,1/11/2018,21810005,CD-051015838,392,1,1,,,199.294,266.56,392,0,STKTR16,16-120,0110,CDIOR,,
1,5,1/11/2018,21810005,CD-071522439,533,2,1,,,285.08,362.44,533,0,STKTR16,16-120,0110,SECTION S,,
1,5,1/11/2018,21810005,CD-071586009,824,1,1,,,437.984,560.32,824,0,STKTR16,16-120,0110,SECTION S,,
1,5,1/11/2018,21810005,CD-008324609,659,4,1,,,350.438,448.12,659,0,STKTR16,16-120,0115,CDIOR,,
1,5,1/11/2018,21810005,CD-000794000,115,1,1,,,61.373,78.2,115,0,STKTR16,16-120,0150,CDIOR,,
1,5,1/11/2018,21810005,CD-009623009,332,1,1,,,177.551,225.76,332,0,STKTR16,16-120,0153,SECTION S,,
1,5,1/11/2018,21810005,CD-008222109,466,1,1,,,248.947,316.88,466,0,STKTR16,16-120,0154,CDIOR,,
1,5,1/11/2018,21810005,CD-010264000,215,2,1,,,115.001,146.2,215,0,STKTR16,16-120,0154,CDIOR,,
1,5,1/11/2018,21810005,CD-077926009,614,3,1,,,328.431,417.52,614,0,STKTR16,16-120,0159,SECTION S,,
1,5,1/14/2018,21810006,CD-076970202,245,2,1,,,130.92,166.6,245,0,STKTR22,16-120,0211,CDIOR,,
1,5,1/14/2018,21810006,CD-000355155,128,2,1,,,68.04,87.04,128,0,STKTR22,16-120,0231,SECTION S,,
1,5,1/14/2018,21810006,CD-000355306,128,1,1,,,68.239,87.04,128,0,STKTR22,16-120,0231,SECTION S,,
1,5,1/14/2018,21810006,CD-002867001,173,1,1,,,92.54,117.64,173,0,STKTR22,16-120,0235,CDIOR,,
1,5,1/14/2018,21810006,CD-028530686,149,1,1,,,79.702,101.32,149,0,STKTR22,16-120,0235,SECTION S,,
1,5,1/14/2018,21810006,CD-002116000,172,1,1,,,91.952,116.96,172,0,STKTR22,16-120,0306,CDIOR,,
1,5,1/14/2018,21810006,CD-072685001,302,1,1,,,161.665,205.36,302,0,STKTR22,16-120,0347,SECTION S,,
1,5,1/14/2018,21810006,CD-034953000,347,1,1,,,158.707,235.96,347,0,STKTR22,16-120,0354,SECTION S,,
1,5,1/14/2018,21810006,CD-037933000,367,1,1,,,196.1,249.56,367,0,STKTR22,16-120,0354,SECTION S,,
1,5,1/14/2018,21810006,CD-045143000,337,2,1,,,178.007,229.16,337,0,STKTR22,16-120,0354,SECTION S,,
1,5,1/14/2018,21810006,CD-072035010,263,2,1,,,140.655,178.84,263,0,STKTR22,16-120,0370,SECTION S,,
1,5,1/14/2018,21810006,CD-077080020,238,1,1,,,127.276,161.84,238,0,STKTR22,16-120,0370,SECTION S,,
1,5,1/14/2018,21810006,CD-077885031,238,1,1,,,122.186,161.84,238,0,STKTR22,16-120,0370,SECTION S,,
1,5,1/14/2018,21810007,CD-001901009,223,4,1,,,119.075,151.64,223,0,STKTR14,16-120,0100,SECTION S,,
1,5,1/14/2018,21810007,CD-008286009,824,3,1,,,438.225,560.32,824,0,STKTR14,16-120,0100,SECTION S,,
1,5,1/14/2018,21810007,CD-032622889,377,1,1,,,201.622,256.36,377,0,STKTR14,16-120,0100,SECTION S,,
1,5,1/14/2018,21810007,CD-62249-9,540,1,1,,,288.82,367.2,540,0,STKTR14,16-120,0100,CDIOR,,
1,5,1/14/2018,21810007,CD-6424909,540,2,1,,,288.209,367.2,540,0,STKTR14,16-120,0101,CDIOR,,
1,5,1/14/2018,21810007,CD-6922-9,377,1,1,,,200.44,256.36,377,0,STKTR14,16-120,0105,CDIOR,,
1,5,1/14/2018,21810007,CD-008324609,659,1,1,,,350.438,448.12,659,0,STKTR14,16-120,0115,CDIOR,,
1,5,1/14/2018,21810007,CD-050288000,169,1,1,,,90.37,114.92,169,0,STKTR14,16-120,0154,CDIOR,,
1,5,1/14/2018,21810007,CD-049223009,564,2,1,,,301.574,383.52,564,0,STKTR14,16-120,0159,SECTION S,,
1,5,1/14/2018,21810007,CD-068926009,560,3,1,,,299.51,380.8,560,0,STKTR14,16-120,0166,SECTION S,,
1,5,1/14/2018,21810007,CD-014715616,164,1,1,,,85.718,111.52,164,0,STKTR14,16-120,0200,SECTION S,,
1,5,1/14/2018,21810007,CD-014809008,288,1,1,,,149.585,195.84,288,0,STKTR14,16-120,0200,CDIOR,,
1,5,1/14/2018,21810007,CD-014814708,297,1,1,,,152.868,201.96,297,0,STKTR14,16-120,0200,SECTION S,,
1,5,1/14/2018,21810007,CD-014840046,288,1,1,,,150.6,195.84,288,0,STKTR14,16-120,0200,SECTION S,,
1,5,1/14/2018,21810007,CD-069710090,173,3,1,,,90.612,117.64,173,0,STKTR14,16-120,0200,SECTION S,,
1,5,1/14/2018,21810007,CD-069717090,173,1,1,,,92.409,117.64,173,0,STKTR14,16-120,0200,SECTION S,,
1,5,1/14/2018,21810007,CD-069797001,168,6,1,,,89.852,114.24,168,0,STKTR14,16-120,0200,SECTION S,,
1,5,1/14/2018,21810007,CD-073920379,118,3,1,,,63.563,80.24,118,0,STKTR14,16-120,0200,SECTION S,,
1,5,1/14/2018,21810007,CD-077535772,130,1,1,,,69.553,88.4,130,0,STKTR14,16-120,0200,SECTION S,,
1,5,1/14/2018,21810007,CD-088040002,182,1,1,,,96.945,123.76,182,0,STKTR14,16-120,0211,CDIOR,,
1,5,1/14/2018,21810008,CD-001900009,198,2,1,,,105.9,134.64,198,0,STKTR16,16-120,0170,SECTION S,,
1,5,1/14/2018,21810008,CD-099474000,226,1,1,,,120.939,153.68,226,0,STKTR16,16-120,0185,SECTION S,,
1,5,1/14/2018,21810008,CD-014600002,151,1,1,,,80.787,102.68,151,0,STKTR16,16-120,0200,SECTION S,,
1,5,1/14/2018,21810008,CD-014715616,164,1,1,,,85.718,111.52,164,0,STKTR16,16-120,0200,SECTION S,,
1,5,1/14/2018,21810008,CD-069625091,173,2,1,,,90.129,117.64,173,0,STKTR16,16-120,0200,SECTION S,,
1,5,1/14/2018,21810008,CD-069710090,173,3,1,,,90.612,117.64,173,0,STKTR16,16-120,0200,SECTION S,,
1,5,1/14/2018,21810008,CD-069717090,173,2,1,,,92.409,117.64,173,0,STKTR16,16-120,0200,SECTION S,,
1,5,1/14/2018,21810008,CD-069725099,168,2,1,,,87.57,114.24,168,0,STKTR16,16-120,0200,CDIOR,,
1,5,1/14/2018,21810008,CD-069797001,168,4,1,,,89.852,114.24,168,0,STKTR16,16-120,0200,SECTION S,,
1,5,1/14/2018,21810008,CD-069798001,168,2,1,,,89.849,114.24,168,0,STKTR16,16-120,0200,CDIOR,,
1,5,1/14/2018,21810008,CD-070200157,160,1,1,,,85.578,108.8,160,0,STKTR16,16-120,0200,SECTION S,,
1,5,1/14/2018,21810008,CD-072613002,125,2,1,,,66.81,85,125,0,STKTR16,16-120,0200,SECTION S,,
1,5,1/14/2018,21810008,CD-74620-093,118,2,1,,,62.934,80.24,118,0,STKTR16,16-120,0200,CDIOR,,
1,5,1/14/2018,21810008,CD-088035001,202,1,1,,,108.062,137.36,202,0,STKTR16,16-120,0211,SECTION S,,
1,5,1/14/2018,21810008,CD-088055001,165,1,1,,,88.195,112.2,165,0,STKTR16,16-120,0211,SECTION S,,
1,5,1/14/2018,21810008,CD-002760012,190,1,1,,,100.753,129.2,190,0,STKTR16,16-120,0225,SECTION S,,
1,5,1/14/2018,21810008,CD-002867001,173,2,1,,,92.54,117.64,173,0,STKTR16,16-120,0235,CDIOR,,
1,5,1/14/2018,21810008,CD-002782310,173,2,1,,,92.005,117.64,173,0,STKTR16,16-120,0243,SECTION S,,
1,5,1/14/2018,21810008,CD-002782752,173,1,1,,,92.008,117.64,173,0,STKTR16,16-120,0243,SECTION S,,
1,5,1/14/2018,21810008,CD-002782760,173,1,1,,,91.499,117.64,173,0,STKTR16,16-120,0243,SECTION S,,
1,5,1/14/2018,21810009,CD-006242309,377,1,1,,,201.627,256.36,377,0,STKTR19,16-120,0100,SECTION S,,
1,5,1/14/2018,21810009,CD-076322009,466,3,1,,,249.234,316.88,466,0,STKTR19,16-120,0104,CDIOR,,
1,5,1/14/2018,21810009,CD-008344409,659,1,1,,,336.627,448.12,659,0,STKTR19,16-120,0109,SECTION S,,
1,5,1/14/2018,21810009,CD-091512009,395,3,1,,,211.311,268.6,395,0,STKTR19,16-120,0110,SECTION S,,
1,5,1/14/2018,21810009,CD-000794000,115,2,1,,,61.373,78.2,115,0,STKTR19,16-120,0150,CDIOR,,
