REF_NO,REF_NO2,REF_NO3,DESCRIP,BRAND_LINE,BRAND_LIN2,SUPP_CODE,GROUP,MAINGROUP,MR_COST,AVE_COST,MR_LNDCOST,CURRENCY,UNITS,UNITS2,SUPP_UNIT,STK_LOC1,OP_AVCOST,MRK_COST,BATPROM1,PROMQTY,TOT_DAMQTY,LAST_RECDT,LAST_ISSDT,QTY_ORDER,EXPECTDTE,PRICE_WSCH,PRICE_RTCH,PRICE_VNCH,PRICE_UNIT,OPSTKLOC,OPENDTE,PURCCODE,SALECODE,IBCODE,BATCST1,BATLNDCST1,BATQTY1,BATDTE1,BATORD1,LAT_PRICE,CSOCODE,LST_INVNO,LST_GRVNO,CNT_ORIGN,DISCOUNT,OFF_PRICE,BAR_CODE,IB
CD-52589,CDIOR,F005258900,PARFUMED BODY CREAM,0100,0100,16-120D,C'DIOR,CHRISTIAN DIOR,35.63,137.997,137.997,USD,200 GMS,1,1,0,137.997,137.997,0,0,0,9/24/2006,6/19/2013,66,9/19/1993,180.2,265,0,1,0,1/1/2018,18-120,19-120,25-120,35.63,137.9971,6,9/24/2006,10-6074,21.25,,90186139,    5444,FRANCE,80,138,3348900162945,
CD-62229-9,CDIOR,F006222909,EDT NATURAL SPRAY,0100,0100,16-120,C'DIOR,CHRISTIAN DIOR,52.65,201.609,201.597,USD,50 ML,1,1,14,201.609,201.609,0,0,0,5/22/2016,3/7/2018,258,12/15/1994,256.36,377,0,1,18,1/1/2018,18-120,19-120,25-120,52.65,201.5969,25,5/22/2016,10-2831,45.31,,9049113,    5819,FRANCE,0,0,3348900142305,
CD-62249-9,CDIOR,F006224909,EDT NATURAL SPRAY,0100,0100,16-120,C'DIOR,CHRISTIAN DIOR,75.42,288.813,288.783,USD,100 ML,1,1,9,288.813,288.813,0,0,0,5/22/2016,3/18/2018,312,11/30/1994,367.2,540,0,1,13,1/1/2018,18-120,19-120,25-120,75.42,288.7832,25,5/22/2016,10-2831,64.8,,9049113,    5819,FRANCE,0,0,3348900142312,
CD-6822,CDIOR,F006822009,EDT ATOM,0102,0102,16-120D,C'DIOR,CHRISTIAN DIOR,32.67,114.987,127.147,USD,50 ML,1,1,2,114.987,114.987,0,0,0,8/4/2008,4/23/2014,285,2/25/1991,178.84,263,0,1,2,1/1/2018,18-120,19-120,25-120,32.67,127.1474,18,8/4/2008,10-7116,14.05,,9049113,    5819,FRANCE,80,115,3348900012424,
CD-6824,CDIOR,F006824009,EDT ATOM,0102,0102,16-120,C'DIOR,CHRISTIAN DIOR,75.42,286.905,288.783,USD,100 ML,1,1,3,286.905,286.905,0,0,0,1/28/2016,3/11/2018,258,2/25/1991,367.2,540,0,1,3,1/1/2018,18-120,19-120,25-120,75.42,288.7832,16,1/28/2016,10-2606,21.9,,9049113,    5819,FRANCE,0,0,3348900012455,
CD-6322,CDIOR,F006322009,EDT NATURAL SPRAY,0104,0104,16-120,C'DIOR,CHRISTIAN DIOR,52.65,200.805,201.597,USD,50 ML,1,1,31,200.805,200.805,0,0,0,2/18/2016,12/8/2017,2299,2/25/1991,256.36,377,0,1,31,1/1/2018,18-120,19-120,25-120,52.65,201.5969,24,2/18/2016,10-2639,21.03,,9049113,    5819,FRANCE,0,0,3348900011632,
CD-6324,CDIOR,F006324009,EDT NATURAL SPRAY,0104,0104,16-120,C'DIOR,CHRISTIAN DIOR,75.42,288.401,288.783,USD,100 ML,1,1,26,288.401,288.401,0,0,0,3/8/2016,1/3/2018,829,2/25/1991,367.2,540,0,1,28,1/1/2018,18-120,19-120,25-120,75.42,288.7832,24,3/8/2016,10-2663,66.55,,9049113,    5819,FRANCE,0,0,3348900011687,
CD-5958,CDIOR,F005958000,PERFUMED BODY CREAM,0105,0105,16-120D,C'DIOR,CHRISTIAN DIOR,35.63,127.981,138.219,USD,200 ML,1,1,2,127.981,127.981,0,0,0,9/30/2007,1/7/2014,246,10/1/1994,195.16,287,0,1,2,1/1/2018,18-120,19-120,25-120,35.63,138.2191,3,9/30/2007,10-6623,22.58,,90530547,    5866,FRANCE,80,128,3348900131958,
CD-5964-9,CDIOR,F005964009,PERFUMED DEODORANT,0105,0105,16-120D,C'DIOR,CHRISTIAN DIOR,12.79,45.262,49.61,USD,100 ML,1,1,1,45.262,45.262,0,0,0,11/3/2004,1/6/2011,51,10/1/1994,89.76,132,0,1,1,1/1/2018,18-120,19-120,25-120,12.79,49.6096,3,11/3/2004,10-5068,11.24,,90610128,    5966,FRANCE,80,45,3348900010550,
CD-6922-9,CDIOR,F006922009,EDT NATURAL SPRAY,0105,0105,16-120,C'DIOR,CHRISTIAN DIOR,52.65,200.432,201.65,USD,50 ML,1,1,5,200.432,200.432,0,0,0,12/24/2015,2/2/2018,1845,7/15/1994,256.36,377,0,1,7,1/1/2018,18-120,19-120,25-120,52.65,201.6495,25,12/24/2015,10-2532,45.31,,90610128,    5966,FRANCE,0,0,3348900103856,
CD-6924-9,CDIOR,F006924009,EDT NATURAL SPRAY,0105,0105,16-120,C'DIOR,CHRISTIAN DIOR,75.42,287.545,288.783,USD,100 ML,1,1,3,287.545,287.545,0,0,0,3/8/2016,3/8/2018,1355,7/15/1994,367.2,540,0,1,4,1/1/2018,18-120,19-120,25-120,75.42,288.7832,7,3/8/2016,10-2663,64.8,,9049113,    5819,FRANCE,0,0,3348900103870,
CD-51064009,CDIOR,F051064009,PERFUMED DEODORANT,0107,0107,16-120D,C'DIOR,CHRISTIAN DIOR,12.79,47.595,49.572,USD,100 ML,1,1,0,47.595,47.595,0,0,0,7/10/2005,4/23/2014,15,9/25/1996,89.76,132,0,1,0,1/1/2018,18-120,19-120,25-120,12.79,49.5716,6,7/10/2005,10-5397,11.24,,090005397,    5206,FRANCE,80,48,3348900277335,
CD-61022009,CDIOR,F061022009,EDT NATURAL SPRAY,0107,0107,16-120,C'DIOR,CHRISTIAN DIOR,52.65,199.564,201.65,USD,50 ML,1,1,1,199.564,199.564,0,0,0,4/4/2016,2/18/2018,220,7/29/1995,256.36,377,0,1,4,1/1/2018,18-120,19-120,25-120,52.65,201.6495,3,4/4/2016,10-2739,45.31,,9049113,    5821,FRANCE,0,0,3348900236714,
CD-61024009,CDIOR,F061024009,EDT NATURAL SPRAY,0107,0107,16-120,C'DIOR,CHRISTIAN DIOR,75.42,287.572,288.859,USD,100 ML,1,1,7,287.572,287.572,0,0,0,4/4/2016,3/6/2018,602,7/29/1995,367.2,540,0,1,7,1/1/2018,18-120,19-120,25-120,75.42,288.8586,6,4/4/2016,10-2739,64.8,,9049113,    5821,FRANCE,0,0,3348900236738,
CD-5712,CDIOR,F005712000,AFTER SHAVE,0150,0150,16-120D,C'DIOR,CHRISTIAN DIOR,9.59,34.391,37.18,USD,50 ML,1,1,1,34.391,34.391,0,0,0,9/21/2004,1/9/2014,81,10/15/1995,102.68,151,0,1,1,1/1/2018,18-120,19-120,25-120,9.59,37.18,3,9/21/2004,10-5040,8.53,,090005397,    5204,FRANCE,80,34,3348900010147,
CD-5764-9,CDIOR,F005764009,DEODORANT NATURAL SPRAY,0150,0150,16-120D,C'DIOR,CHRISTIAN DIOR,11.05,42.006,42.848,USD,100 ML,1,1,0,42.006,42.006,0,0,0,12/12/2004,5/12/2006,144,2/25/1991,113.56,167,0,1,0,1/1/2018,18-120,19-120,25-120,11.05,42.8477,4,12/12/2004,10-5161,11.05,,90610128,    5966,FRANCE,80,42,3348900010413,
CD-5624,CDIOR,F005624009,AFTER-SHAVE ATOM,0153,0153,16-120,C'DIOR,CHRISTIAN DIOR,46.23,175.686,177.015,USD,100 ML,1,1,12,175.686,175.686,0,0,0,3/8/2016,1/31/2018,177,2/25/1991,225.08,331,0,1,12,1/1/2018,18-120,19-120,25-120,46.23,177.0147,4,3/8/2016,10-2663,15.5,,120916,    5171,FRANCE,0,0,3348900010062,
CD-56669-9,CDIOR,F005666909,DEODORANT NATURAL SPRAY,0153,0153,16-120,C'DIOR,CHRISTIAN DIOR,23.18,88.771,88.779,USD,150 ML,1,1,0,88.771,88.771,0,0,0,3/23/2016,8/7/2017,450,2/18/1995,112.88,166,0,1,0,1/1/2018,18-120,19-120,25-120,23.18,88.7794,35,3/23/2016,10-2719,8.33,,9049113,    5824,FRANCE,0,0,3348900199699,
CD-6369-1,CDIOR,F000636901,SOAP,0153,0153,16-120,C'DIOR,CHRISTIAN DIOR,13.69,50.72,52.981,USD,150 GMS,1,1,0,50.72,50.72,0,0,0,7/9/2013,1/27/2018,198,2/18/1995,79,79,79,1,2,1/1/2018,18-120,19-120,25-120,13.69,52.9811,6,7/9/2013,10-9452,12.77,,90610128,    5965,FRANCE,60,51,3348900199637,
CD-6622,CDIOR,F006622009,EDT NATURAL SPRAY,0153,0153,16-120,C'DIOR,CHRISTIAN DIOR,46.37,177.483,177.597,USD,50 ML,1,1,7,177.483,177.483,0,0,0,4/4/2016,10/30/2017,4508,2/25/1991,225.76,332,0,1,7,1/1/2018,18-120,19-120,25-120,46.37,177.5971,24,4/4/2016,10-2739,14.83,,9049113,    5819,FRANCE,0,0,3348900012189,
CD-6624,CDIOR,F006624009,EDT NATURAL SPRAY,0153,0153,16-120,C'DIOR,CHRISTIAN DIOR,65.08,248.574,249.321,USD,100 ML,1,1,4,248.574,248.574,0,0,0,5/8/2016,5/3/2017,10198,2/25/1991,316.88,466,0,1,4,1/1/2018,18-120,19-120,25-120,65.08,249.3215,48,5/8/2016,10-2807,21.61,,9049113,    5819,FRANCE,0,0,3348900012219,
CD-6628,CDIOR,F006628009,EDT NATURAL SPRAY,0153,0153,16-120,C'DIOR,CHRISTIAN DIOR,97.63,373.863,373.923,USD,200 ML,1,1,4,373.863,373.863,0,0,0,4/20/2016,9/29/2017,134,10/1/1994,475.32,699,0,1,4,1/1/2018,18-120,19-120,25-120,97.63,373.9229,24,4/20/2016,10-2780,31.78,,9049113,    5819,FRANCE,0,0,3348900147324,
CD-72610-090,CDIOR,F072610090,EYE LINER & SHARPENER-BLACK,0200,0200,16-120D,C'DIOR,CHRISTIAN DIOR,14.52,54.481,56.179,USD,PCS,1,1,0,54.481,54.481,0,0,0,4/25/2011,4/23/2014,1693,7/15/1994,73.44,108,0,1,0,1/1/2018,18-120,19-120,25-120,14.52,56.1793,60,4/25/2011,10-8299,5.62,,9049113,    5822,FRANCE,70,54,3348900093690,
CD-72610-893,CDIOR,F072610893,EYE LINER & SHARPENER-PRECIOUS VIOL,0200,0200,16-120D,C'DIOR,CHRISTIAN DIOR,14.52,48.718,56.179,USD,PCS,1,1,4,48.718,48.718,0,0,0,4/25/2011,2/27/2016,78,6/15/1995,73.44,108,0,1,4,1/1/2018,18-120,19-120,25-120,14.52,56.1793,9,4/25/2011,10-8299,14.52,,9049113,    5822,FRANCE,70,49,3348900203242,
CD-73910-099,CDIOR,F073910099,KHOL PENCIL-BLACK,0200,0200,16-120,C'DIOR,CHRISTIAN DIOR,14.8,56.303,56.669,USD,PCS,1,1,4,56.303,56.303,0,-3,0,8/31/2014,3/17/2016,2526,2/25/1991,72.08,106,0,1,4,1/1/2018,18-120,19-120,25-120,14.8,56.6692,52,8/31/2014,10-1476,3.88,,90522525,    5856,FRANCE,0,0,3348900034273,
CD-73910-197,CDIOR,F073910197,KHOL PENCIL-MARINE BLUE,0200,0200,16-120D,C'DIOR,CHRISTIAN DIOR,13.97,49.379,53.491,USD,PCS,1,1,9,49.379,49.379,0,0,0,4/16/2014,2/24/2015,201,2/25/1991,72.08,106,0,1,9,1/1/2018,18-120,19-120,25-120,13.97,53.4911,12,4/16/2014,10-1193,3.88,,90555411,    5905,FRANCE,0,0,3348900082410,
CD-73910-887,CDIOR,F073910887,KHOL PENCIL-MAGENTA BROWN,0200,0200,16-120D,C'DIOR,CHRISTIAN DIOR,13.97,46.139,53.491,USD,PCS,1,1,19,46.139,46.139,0,0,0,4/16/2014,6/30/2015,309,11/30/1994,72.08,106,0,1,19,1/1/2018,18-120,19-120,25-120,13.97,53.4911,12,4/16/2014,10-1193,3.88,,9049113,    5822,FRANCE,0,0,3348900034310,
CD-74541-410,CDIOR,F074541410,HYDRATING CONCEALER-LGHT BEIGE,0211,0211,16-120D,C'DIOR,CHRISTIAN DIOR,16.55,63.349,64.084,USD,PCS,1,1,0,63.349,63.349,0,0,0,10/27/2009,1/27/2013,322,7/29/1995,83.64,123,0,1,0,1/1/2018,18-120,19-120,25-120,16.55,64.0836,12,10/27/2009,10-7682,7.56,,9049113,    5822,FRANCE,70,63,3348900244504,
CD-74541-430,CDIOR,F074541430,HYDRATING CONCEALER-MED.BEIGE,0211,0211,16-120D,C'DIOR,CHRISTIAN DIOR,16.55,63.636,64.084,USD,PCS,1,1,0,63.636,63.636,0,0,0,10/27/2009,1/27/2013,95,7/29/1995,83.64,123,0,1,0,1/1/2018,18-120,19-120,25-120,16.55,64.0836,6,10/27/2009,10-7682,7.56,,9049113,    5825,FRANCE,70,64,3348900244511,
CD-74541-520,CDIOR,F074541520,HYDRATING CONCEALER-LIGHT GOLDEN,0211,0211,16-120D,C'DIOR,CHRISTIAN DIOR,16.55,62.507,64.084,USD,PCS,1,1,0,62.507,62.507,0,0,0,10/27/2009,1/27/2013,123,7/29/1995,83.64,123,0,1,0,1/1/2018,18-120,19-120,25-120,16.55,64.0836,9,10/27/2009,10-7682,7.56,,90704407,    6120,FRANCE,70,63,3348900244528,
CD-74541-800,CDIOR,F074541800,HYDRATING CONCEALER-LIGHT ROSE,0211,0211,16-120D,C'DIOR,CHRISTIAN DIOR,16.55,59.961,64.084,USD,PCS,1,1,0,59.961,59.961,0,0,0,10/27/2009,1/27/2013,307,7/29/1995,83.64,123,0,1,0,1/1/2018,18-120,19-120,25-120,16.55,64.0836,6,10/27/2009,10-7682,7.56,,9049113,    5831,FRANCE,70,60,3348900244535,
CD-74900-100,CDIOR,F074900100,CONCEALER,0211,0211,16-120D,C'DIOR,CHRISTIAN DIOR,13.85,50.329,53.706,USD,PCS,1,1,0,50.329,50.329,0,0,0,12/16/2007,1/27/2013,396,10/12/1994,83.64,123,0,1,0,1/1/2018,18-120,19-120,25-120,13.85,53.7063,3,12/16/2007,10-6768,7.56,,9049113,    5822,FRANCE,80,50,3348900103405,
CD-74900-200,CDIOR,F074900200,CONCEALER,0211,0211,16-120D,C'DIOR,CHRISTIAN DIOR,12.77,48.468,49.533,USD,PCS,1,1,0,48.468,48.468,0,0,0,8/20/2007,1/27/2013,151,7/15/1994,83.64,123,0,1,0,1/1/2018,18-120,19-120,25-120,12.77,49.5334,24,8/20/2007,10-6594,7.56,,9049113,    5822,FRANCE,80,48,3348900103412,
CD-77510-098,CDIOR,F077510098,PRECISION EYELINER BLACK,0200,0200,16-120,C'DIOR,CHRISTIAN DIOR,24.86,93.174,95.189,USD,PCS,1,1,51,93.174,93.174,1,0,0,3/23/2016,9/23/2017,1534,10/30/1996,121.04,178,0,1,51,1/1/2018,18-120,19-120,25-120,24.86,95.189,1,3/23/2016,10-2687,10.66,,9049113,    5824,FRANCE,0,0,3348900286177,
CD-77510-298,CDIOR,F077510298,PRECISION EYELINER NAVY BLUE,0200,0200,16-120,C'DIOR,CHRISTIAN DIOR,24.86,91.732,95.189,USD,PCS,1,1,25,91.732,91.732,0,0,0,10/11/2015,9/28/2016,172,6/30/1997,121.04,178,0,1,25,1/1/2018,18-120,19-120,25-120,24.86,95.1889,4,10/11/2015,10-2395,10.66,,9049113,    5825,FRANCE,0,0,3348900286191,
CD-77510-798,CDIOR,F077510798,PRECISION EYELINER BROWN,0200,0200,16-120,C'DIOR,CHRISTIAN DIOR,24.86,94.266,95.214,USD,PCS,1,1,30,94.266,94.266,0,0,0,12/15/2015,8/21/2017,161,10/30/1996,121.04,178,0,1,30,1/1/2018,18-120,19-120,25-120,24.86,95.2138,5,12/15/2015,10-2531,10.66,,9049113,    5825,FRANCE,0,0,3348900286184,
CD-2742-763,CDIOR,F002742763,LIPSTICK-INDIAN RED,0221,0221,16-120D,C'DIOR,CHRISTIAN DIOR,12.1,45.606,46.841,USD,PCS,1,1,0,45.606,45.606,0,-1,0,6/25/2006,3/5/2007,211,2/25/1991,61.2,90,0,1,0,1/1/2018,18-120,19-120,25-120,12.1,46.8413,6,6/25/2006,10-5932,7.27,,90546454,    5872,FRANCE,80,46,3348900007765,
CD-77110-433,CDIOR,F077110433,LIP LINER PENCIL-EARTH,0223,0223,16-120,C'DIOR,CHRISTIAN DIOR,15.64,60.143,60.554,USD,PCS,1,1,3,60.143,60.143,0,0,0,5/30/2013,10/2/2014,696,4/1/1994,80.24,118,0,1,3,1/1/2018,18-120,19-120,25-120,15.64,60.5543,12,5/30/2013,10-9404,14.52,,9049113,    5822,FRANCE,60,60,3348900176492,
CD-77110-463,CDIOR,F077110463,LIP LINER CANDY ROSE,0223,0223,16-120,C'DIOR,CHRISTIAN DIOR,15.64,60.357,60.642,USD,PCS,1,1,8,60.357,60.357,0,0,0,3/12/2013,3/10/2015,654,7/29/1995,80.24,118,0,1,8,1/1/2018,18-120,19-120,25-120,15.64,60.6419,63,3/12/2013,10-9261,5.62,,9049113,    5822,FRANCE,60,60,3348900239579,
CD-77110-588,CDIOR,F077110588,LIP LINER CHOCOLATE,0223,0223,16-120,C'DIOR,CHRISTIAN DIOR,15.64,56.969,60.553,USD,PCS,1,1,22,56.969,56.969,0,0,0,12/20/2012,11/5/2016,2254,2/25/1991,80.24,118,0,1,22,1/1/2018,18-120,19-120,25-120,15.64,60.5526,8,12/20/2012,10-9098,5.62,,9049113,    5822,FRANCE,60,57,3348900088412,
CD-77110-713,CDIOR,F077110713,LIP LINER BROWN,0223,0223,16-120D,C'DIOR,CHRISTIAN DIOR,15.08,55.217,58.402,USD,PCS,1,1,5,55.217,55.217,0,0,0,5/2/2012,12/28/2014,826,10/1/1994,73.44,108,0,1,5,1/1/2018,18-120,19-120,25-120,15.08,58.4018,18,5/2/2012,10-8819,5.62,,9049113,    5824,FRANCE,60,55,3348900123984,
CD-77110-833,CDIOR,F077110833,LIP LINER MAHOGANY,0223,0223,16-120,C'DIOR,CHRISTIAN DIOR,15.64,58.096,60.553,USD,PCS,1,1,13,58.096,58.096,0,0,0,12/20/2012,12/29/2015,360,2/25/1991,80.24,118,0,1,13,1/1/2018,18-120,19-120,25-120,15.64,60.5526,10,12/20/2012,10-9098,5.62,,9049113,    5824,FRANCE,60,58,3348900088375,
CD-77110-863,CDIOR,F077110863,LIP LINER HOLIDAY RED,0223,0223,16-120,C'DIOR,CHRISTIAN DIOR,15.64,60.252,60.642,USD,PCS,1,1,21,60.252,60.252,0,0,0,3/12/2013,1/19/2016,573,2/25/1991,80.24,118,0,1,21,1/1/2018,18-120,19-120,25-120,15.64,60.6419,36,3/12/2013,10-9261,14.52,,9049113,    5824,FRANCE,60,60,3348900088382,
CD-67324-009,CDIOR,F067324009,TREATMENT FRAGRANCE VAPO,0337,0337,16-120,C'DIOR,CHRISTIAN DIOR,21.91,84.183,84.986,USD,100 ML,1,1,0,84.183,84.183,0,0,0,8/20/2007,2/25/2010,150,4/30/1995,161.84,238,0,1,0,1/1/2018,18-120,19-120,25-120,21.91,84.9865,12,8/20/2007,10-6594,12.02,,90522525,    5853,FRANCE,80,84,3348900214132,
CD-6321-29,CDIOR,F632129,EDT SPRAY,0104,0104,16-120A,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,4.7,0,0,US$,30 ML,1,1,0,0,0,150,-2,0,9/6/1998,4/9/2009,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0,0,0,9/6/1998,10-3370,4.7,,080949,    4346,FRANCE,0,0,,
CD-33321125,CDIOR,F033321125,EDT NATURAL SPRAY REFILL,0106,0106,16-120A,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,US$,7.5 ML,1,1,0,0,0,36,0,0,3/23/1995,2/12/2006,0,,68,100,0,1,0,1/1/2018,18-120,19-120,25-120,0,0,0,3/23/1995,10-2553,0,,302447,    2166,FRANCE,80,0,3348900221697,
CD-6321329,CDIOR,F006321309,EDT NATURAL SPRAY,0106,0106,16-120A,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,US$,30 ML,1,1,0,0,0,150,-5,0,9/6/1998,4/9/2009,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0,0,0,9/6/1998,10-3370,0,,080949,    4346,FRANCE,0,0,,
CD-5662502,CDIOR,F5662502,DEODORANT NATURAL SPRAY,0153,0153,16-120A,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,US$,PCS,1,1,0,0,0,100,0,0,8/7/1995,4/9/2009,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0,0,0,8/7/1995,10-2683,0,,70593,    2408,FRANCE,0,0,,
CD-6621029,CDIOR,F006621009,EDT VAPO,0153,0153,16-120A,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,0,0,0,US$,30 ML,1,1,0,0,0,200,-7,0,8/24/1999,4/9/2009,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0,0,0,8/24/1999,10-3671,0,,080570,    4957,FRANCE,0,0,,
CD-947,CDIOR,F947,C.DIOR CANDLE,0153,0153,16-120A,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,4.34,0,0,US$,PCS,1,1,0,0,0,0,0,0,9/30/1989,3/30/2017,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,4.34,0,55,9/30/1989,LASTYEAR,4.34,,,,FRANCE,0,0,,
CD-31346,CDIOR,F31346,CARE SKIN KIT,0300,0300,16-120A,C'DIOR PROMOTIONAL,C'DIOR PROMOTIONAL,27.4,105.3,105.3,US$,PCS,1,1,0,105.3,105.3,36,0,0,12/3/1992,1/27/2013,0,,128.52,189,128.52,1,0,1/1/2018,18-120,19-120,25-120,27.4,105.3001,0,12/3/1992,10-1880,27.4,,110616,     596,FRANCE,80,105,,
CD-2852589,CDIOR,,BODY PERFUMED CREAM,0012,0012,16-120P,PROMOTIONAL MATERIAL (FOC,PROMOTIONAL ITEMS,0,0,0,US$,200 ML,1,1,0,0,0,8,0,0,6/20/1996,5/21/2001,36,3/5/1999,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0,0,0,6/20/1996,10-2879,0,,11451,    2673,FRANCE,0,0,,
CD-286204-9,CDIOR,,EDT VAPO,0012,0012,16-120P,PROMOTIONAL MATERIAL (FOC,PROMOTIONAL ITEMS,0,0,0,USD,100 ML,1,1,0,0,0,3,0,0,8/20/2007,12/21/1997,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0,0,3,8/20/2007,10-6594,0,,309343,     642,FRANCE,0,0,,
CD-2862049-9,CDIOR,F2862049009,EDT VAPO,0012,0012,16-120P,PROMOTIONAL MATERIAL (FOC,PROMOTIONAL ITEMS,4.25,3.851,16.477,USD,100 ML,1,1,272,3.851,0,7,25,0,4/4/2016,11/16/2017,48,11/21/1999,0,0,0,1,272,1/1/2018,18-120,19-120,25-120,4.25,16.477,7,4/4/2016,10-2739,0,,90701928,    6108,FRANCE,0,0,,
CD-2862589,CDIOR,,PARFUMED BODY MILK,0012,0012,16-120P,PROMOTIONAL MATERIAL (FOC,PROMOTIONAL ITEMS,0,0,0,US$,PCS,1,1,0,0,0,12,0,0,12/5/1998,5/21/2001,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0,0,0,12/5/1998,10-3505,0,,111220-222,    4499,FRANCE,0,0,,
CD-164478,CDIOR,,EAU DE SATIN VIALS,0021,0021,16-120P,PROMOTIONAL MATERIAL (FOC,PROMOTIONAL ITEMS,0,0,0,US$,PCS,1,1,0,0,0,500,0,0,8/9/1993,11/3/1998,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0,0,0,8/9/1993,10-2059,0,,304821,    1029,FRANCE,0,0,,
CD-285456,CDIOR,,MOIST BODY CREAM,0022,0022,16-120P,PROMOTIONAL MATERIAL (FOC,PROMOTIONAL ITEMS,0,0,0,US$,PCS,1,1,0,0,0,12,0,0,1/9/1993,12/27/1997,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0,0,0,1/9/1993,10-1915,0,,309343,     642,FRANCE,0,0,,
CD-286404-9,CDIOR,,EDT VAPO,0022,0022,16-120P,PROMOTIONAL MATERIAL (FOC,PROMOTIONAL ITEMS,0,0,0,USD,100 ML,1,1,0,0,0,3,0,0,7/19/2012,12/21/1997,48,1/7/1997,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0,0,3,7/19/2012,10-8906,0,,300358,    3355,FRANCE,0,0,,
CD-286804-9,CDIOR,F286804009,EDT VAPO,0042,0042,16-120P,PROMOTIONAL MATERIAL (FOC,PROMOTIONAL ITEMS,3.63,6.093,14.098,USD,100 ML,1,1,106,6.093,0,2,26,0,1/31/2016,5/11/2016,108,11/21/1999,0,0,0,1,106,1/1/2018,18-120,19-120,25-120,3.63,14.098,2,1/31/2016,10-2606,0,,120916,    5171,FRANCE,0,0,,
CD-165372,CDIOR,,BATH SAMPLE SACHETS(LOTION+GEL),0051,0051,16-120P,PROMOTIONAL MATERIAL (FOC,PROMOTIONAL ITEMS,0,0,0,US$,PCS,1,1,0,0,0,500,0,0,9/13/1992,8/4/1997,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0,0,0,9/13/1992,10-1702,0,,050631,     294,FRANCE,0,0,,
CD-167300,CDIOR,,ESPIRIT DE PARFUM,0051,0051,16-120P,PROMOTIONAL MATERIAL (FOC,PROMOTIONAL ITEMS,0,0,0,US$,5 ML,1,1,0,0,0,1,0,0,8/19/1995,2/8/2011,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0,0,0,8/19/1995,10-2663,0,,121177,    1988,FRANCE,0,0,,
CD-167302,CDIOR,,ESP BOTTLE,0051,0051,16-120P,PROMOTIONAL MATERIAL (FOC,PROMOTIONAL ITEMS,0,0,0,US$,0.7 ML,1,1,0,0,0,0,0,0,,9/5/1996,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0,0,0,,,0,,,,FRANCE,0,0,,
CD-282038,CDIOR,,DUSTING POWDER,0052,0052,16-120P,PROMOTIONAL MATERIAL (FOC,PROMOTIONAL ITEMS,0,0,0,US$,PCS,1,1,0,0,0,4,0,0,8/19/1995,5/26/2001,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0,0,0,8/19/1995,10-2663,0,,30353,    2157,FRANCE,0,0,,
CD-285358,CDIOR,,BODY CREAM,0052,0052,16-120P,PROMOTIONAL MATERIAL (FOC,PROMOTIONAL ITEMS,0,0,0,US$,PCS,1,1,0,0,0,4,0,0,8/19/1995,5/21/2001,36,3/5/1999,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0,0,0,8/19/1995,10-2663,0,,60258,    2982,FRANCE,0,0,,
CD-286304-9,CDIOR,F286304009,EDT SPRAY,0052,0052,16-120P,PROMOTIONAL MATERIAL (FOC,PROMOTIONAL ITEMS,4.35,3.998,16.894,USD,100 ML,1,1,1,3.998,0,2,28,0,9/17/2013,5/19/2014,1744,2/5/1999,0,0,0,1,1,1/1/2018,18-120,19-120,25-120,4.35,16.894,2,9/17/2013,10-9540,0,,90546454,    5876,FRANCE,0,0,,
CD-286358,CDIOR,,BODY LOTION,0052,0052,16-120P,PROMOTIONAL MATERIAL (FOC,PROMOTIONAL ITEMS,0,0,0,US$,PCS,1,1,0,0,0,12,0,0,12/5/1998,5/21/2001,0,,0,0,0,1,0,1/1/2018,18-120,19-120,25-120,0,0,0,12/5/1998,10-3505,0,,111220-222,    4499,FRANCE,0,0,,
